"Domain Code","Domain","Element Code","Element","Unit"
"EI","Agri-Environmental Indicators: Emissions intensities","7231","Emissions (CO2eq)","gigagrams"
"EI","Agri-Environmental Indicators: Emissions intensities","71761","Emissions intensity","kg CO2eq/kg product"
"EI","Agri-Environmental Indicators: Emissions intensities","5510","Production","tonnes"
"EM","Agri-Environmental Indicators: Emissions shares","7225","CH4 emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7273","CO2 emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","723114","Emissions (CO2eq) (AR4)","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","723113","Emissions (CO2eq) (AR5)","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","723112","Emissions (CO2eq) (SAR)","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7274","F-gases emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7230","N2O emissions","gigagrams"
"EM","Agri-Environmental Indicators: Emissions shares","7265","Share of total CH4 emissions","%"
"EM","Agri-Environmental Indicators: Emissions shares","7264","Share of total CO2 emissions","%"
"EM","Agri-Environmental Indicators: Emissions shares","726314","Share of total emissions (AR4)","%"
"EM","Agri-Environmental Indicators: Emissions shares","726313","Share of total emissions (AR5)","%"
"EM","Agri-Environmental Indicators: Emissions shares","726312","Share of total emissions (SAR)","%"
"EM","Agri-Environmental Indicators: Emissions shares","7179","Share of total F-gases emissions","%"
"EM","Agri-Environmental Indicators: Emissions shares","7266","Share of total N2O emissions","%"
"EF","Agri-Environmental Indicators: Fertilizers indicators","5159","Use per area of cropland","kg/ha"
"LC","Agri-Environmental Indicators: Land Cover","5008","Area from CCI_LC","1000 ha"
"LC","Agri-Environmental Indicators: Land Cover","5007","Area from MODIS","1000 ha"
"EL","Agri-Environmental Indicators: Land use indicators","7208","Share in Agricultural land","%"
"EL","Agri-Environmental Indicators: Land use indicators","7252","Share in Cropland","%"
"EL","Agri-Environmental Indicators: Land use indicators","7210","Share in Forest land","%"
"EL","Agri-Environmental Indicators: Land use indicators","7209","Share in Land area","%"
"EMN","Agri-Environmental Indicators: Livestock Manure","72538","Amount excreted in manure (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72539","Losses from manure treated (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72381","Manure applied to soils (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723812","Manure applied to soils that leaches (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723811","Manure applied to soils that volatilises (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72380","Manure left on pasture (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723802","Manure left on pasture that leaches (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723801","Manure left on pasture that volatilises (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72386","Manure treated (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","5111","Stocks","Head"
"EK","Agri-Environmental Indicators: Livestock Patterns","7213","Livestock units per agricultural land area","LSU/ha"
"EK","Agri-Environmental Indicators: Livestock Patterns","7211","Share in total livestock","% of total LSU"
"EK","Agri-Environmental Indicators: Livestock Patterns","5118","Stocks","Livestock units (LSU)"
"EP","Agri-Environmental Indicators: Pesticides indicators","5159","Use per area of cropland","kg/ha"
"ET","Agri-Environmental Indicators: Temperature change","6078","Standard Deviation","°C"
"ET","Agri-Environmental Indicators: Temperature change","7271","Temperature change","°C"
"AE","ASTI R&D Indicators: ASTI-Expenditures","6083","Share of Value Added (Agriculture, Forestry and Fishing)","%"
"AE","ASTI R&D Indicators: ASTI-Expenditures","6084","Spending, total","million PPP (constant 2011 prices)"
"AF","ASTI R&D Indicators: ASTI-Researchers","6086","Per 100,000 farmers","FTE"
"AF","ASTI R&D Indicators: ASTI-Researchers","6082","Researchers, total","FTE"
"FA","Emergency Response: Food Aid Shipments (WFP)","500","Food aid received","tonnes"
"GT","Emissions - Agriculture: Emissions Totals","7234","Direct emissions (N2O)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","7225","Emissions (CH4)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","7273","Emissions (CO2)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","723113","Emissions (CO2eq) (AR5)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","724413","Emissions (CO2eq) from CH4 (AR5)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","724313","Emissions (CO2eq) from N2O (AR5)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","7230","Emissions (N2O)","kilotonnes"
"GT","Emissions - Agriculture: Emissions Totals","7236","Indirect emissions (N2O)","kilotonnes"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5162","Agricultural Use in nutrients","kg of nutrients"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5026","Area","ha"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5312","Area harvested","ha"
"GUNF","Emissions - Agriculture: GHG UNFCCC","7245","Biomass burned (dry matter)","tonnes"
"GUNF","Emissions - Agriculture: GHG UNFCCC","7235","Direct emissions (CO2eq)","gigagrams"
"GUNF","Emissions - Agriculture: GHG UNFCCC","7231","Emissions (CO2eq)","gigagrams"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72317","Emissions (CO2eq) (Burning crop residues)","gigagrams"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72314","Emissions (CO2eq) (Enteric)","gigagrams"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72316","Emissions (CO2eq) (Manure management)","gigagrams"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72247","Implied emission factor for CH4 (Burning crop residues)","g CH4/kg dry matter"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72244","Implied emission factor for CH4 (Enteric)","kg CH4/head"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72246","Implied emission factor for CH4 (Manure management)","kg CH4/head"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72297","Implied emission factor for N2O (Burning crop residues)","g N20/kg dry matter"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72292","Implied emission factor for N2O (Crop residues)","kg N2O-N/kg N"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72298","Implied emission factor for N2O (Cultivation of organic soils)","kg N2O-N/ha"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72291","Implied emission factor for N2O (Manure applied)","kg N2O-N/kg N"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72293","Implied emission factor for N2O (Synthetic fertilizers)","kg N2O-N/kg N"
"GUNF","Emissions - Agriculture: GHG UNFCCC","7237","Indirect emissions (CO2eq)","gigagrams"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72381","Manure applied to soils (N content)","kg"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72380","Manure left on pasture (N content)","kg"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72500","N in excreted manure per head","kg"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72392","Residues (Crop residues)","kg of nutrients"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5111","Stocks","Head"
"GUNF","Emissions - Agriculture: GHG UNFCCC","72502","Typical livestock mass","kg"
"GB","Emissions: Burning - Crop Residues","7245","Biomass burned (dry matter)","tonnes"
"GB","Emissions: Burning - Crop Residues","7225","Emissions (CH4)","kilotonnes"
"GB","Emissions: Burning - Crop Residues","7230","Emissions (N2O)","kilotonnes"
"GA","Emissions: Crop Residues","72342","Direct emissions (N2O) (Crop residues)","kilotonnes"
"GA","Emissions: Crop Residues","7230","Emissions (N2O)","kilotonnes"
"GA","Emissions: Crop Residues","72362","Indirect emissions (N2O) (Crop residues)","kilotonnes"
"GA","Emissions: Crop Residues","72392","Residues (Crop residues)","kg of nutrients"
"GV","Emissions: Drained organic soils","5026","Area","ha"
"GV","Emissions: Drained organic soils","7273","Emissions (CO2)","kilotonnes"
"GV","Emissions: Drained organic soils","7230","Emissions (N2O)","kilotonnes"
"GV","Emissions: Drained organic soils","7216","Net stock change (C)","kilotonnes"
"GN","Emissions: Energy Use","7225","Emissions (CH4)","kilotonnes"
"GN","Emissions: Energy Use","7273","Emissions (CO2)","kilotonnes"
"GN","Emissions: Energy Use","7230","Emissions (N2O)","kilotonnes"
"GN","Emissions: Energy Use","72184","Use in agriculture","Terajoule"
"GE","Emissions: Enteric Fermentation","7225","Emissions (CH4)","kilotonnes"
"GE","Emissions: Enteric Fermentation","5111","Stocks","Head"
"GI","Emissions: Fires","7245","Biomass burned (dry matter)","tonnes"
"GI","Emissions: Fires","7246","Burned Area","ha"
"GI","Emissions: Fires","7225","Emissions (CH4)","kilotonnes"
"GI","Emissions: Fires","7273","Emissions (CO2)","kilotonnes"
"GI","Emissions: Fires","7230","Emissions (N2O)","kilotonnes"
"GF","Emissions: Forests","5110","Area","1000 ha"
"GF","Emissions: Forests","72332","Net emissions/removals (CO2) (Forest land)","kilotonnes"
"GU","Emissions: Manure applied to Soils","72341","Direct emissions (N2O) (Manure applied)","kilotonnes"
"GU","Emissions: Manure applied to Soils","7230","Emissions (N2O)","kilotonnes"
"GU","Emissions: Manure applied to Soils","723612","Indirect emissions (N2O that leaches) (Manure applied)","kilotonnes"
"GU","Emissions: Manure applied to Soils","723611","Indirect emissions (N2O that volatilises) (Manure applied)","kilotonnes"
"GU","Emissions: Manure applied to Soils","72361","Indirect emissions (N2O) (Manure applied)","kilotonnes"
"GU","Emissions: Manure applied to Soils","72381","Manure applied to soils (N content)","kg"
"GU","Emissions: Manure applied to Soils","723812","Manure applied to soils that leaches (N content)","kg"
"GU","Emissions: Manure applied to Soils","723811","Manure applied to soils that volatilises (N content)","kg"
"GU","Emissions: Manure applied to Soils","5111","Stocks","Head"
"GP","Emissions: Manure left on Pasture","72340","Direct emissions (N2O) (Manure on pasture)","kilotonnes"
"GP","Emissions: Manure left on Pasture","7230","Emissions (N2O)","kilotonnes"
"GP","Emissions: Manure left on Pasture","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","kilotonnes"
"GP","Emissions: Manure left on Pasture","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","kilotonnes"
"GP","Emissions: Manure left on Pasture","72360","Indirect emissions (N2O) (Manure on pasture)","kilotonnes"
"GP","Emissions: Manure left on Pasture","72380","Manure left on pasture (N content)","kg"
"GP","Emissions: Manure left on Pasture","723802","Manure left on pasture that leaches (N content)","kg"
"GP","Emissions: Manure left on Pasture","723801","Manure left on pasture that volatilises (N content)","kg"
"GP","Emissions: Manure left on Pasture","5111","Stocks","Head"
"GM","Emissions: Manure Management","72346","Direct emissions (N2O) (Manure management)","kilotonnes"
"GM","Emissions: Manure Management","7225","Emissions (CH4)","kilotonnes"
"GM","Emissions: Manure Management","7230","Emissions (N2O)","kilotonnes"
"GM","Emissions: Manure Management","72366","Indirect emissions (N2O) (Manure management)","kilotonnes"
"GM","Emissions: Manure Management","72386","Manure treated (N content)","kg"
"GM","Emissions: Manure Management","5111","Stocks","Head"
"GR","Emissions: Rice Cultivation","5312","Area harvested","ha"
"GR","Emissions: Rice Cultivation","7225","Emissions (CH4)","kilotonnes"
"GY","Emissions: Synthetic Fertilizers","5162","Agricultural Use in nutrients","kg of nutrients"
"GY","Emissions: Synthetic Fertilizers","72343","Direct emissions (N2O) (Synthetic fertilizers)","kilotonnes"
"GY","Emissions: Synthetic Fertilizers","7230","Emissions (N2O)","kilotonnes"
"GY","Emissions: Synthetic Fertilizers","723632","Indirect emissions (N2O that leaches) (Synthetic fertilizers)","kilotonnes"
"GY","Emissions: Synthetic Fertilizers","723631","Indirect emissions (N2O that volatilises) (Synthetic fertilizers)","kilotonnes"
"GY","Emissions: Synthetic Fertilizers","72363","Indirect emissions (N2O) (Synthetic fertilizers)","kilotonnes"
"GY","Emissions: Synthetic Fertilizers","516202","Nitrogen fertilizer content applied that leaches","kg of nutrients"
"GY","Emissions: Synthetic Fertilizers","516201","Nitrogen fertilizer content applied that volatilises","kg of nutrients"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5300","Domestic supply quantity","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5910","Export Quantity","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5520","Feed","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5141","Food supply quantity (tonnes)","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5610","Import Quantity","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5120","Losses","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5153","Other uses (non-food)","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5130","Processing","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5510","Production","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5166","Residuals","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5525","Seed","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5071","Stock Variation","tonnes"
"BC","Food Balance: Commodity Balances - Crops Primary Equivalent","5164","Tourist consumption","1000 tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5300","Domestic supply quantity","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5910","Export Quantity","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5520","Feed","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5141","Food supply quantity (tonnes)","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5610","Import Quantity","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5120","Losses","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5153","Other uses (non-food)","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5130","Processing","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5510","Production","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5166","Residuals","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5525","Seed","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5071","Stock Variation","tonnes"
"BL","Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent","5164","Tourist consumption","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5301","Domestic supply quantity","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5911","Export Quantity","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","684","Fat supply quantity (g/capita/day)","g/capita/day"
"FBSH","Food Balance: Food Balances (old methodology and population)","5521","Feed","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5142","Food","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","664","Food supply (kcal/capita/day)","kcal/capita/day"
"FBSH","Food Balance: Food Balances (old methodology and population)","645","Food supply quantity (kg/capita/yr)","kg"
"FBSH","Food Balance: Food Balances (old methodology and population)","5611","Import Quantity","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5123","Losses","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5154","Other uses (non-food)","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5131","Processing","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5511","Production","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","674","Protein supply quantity (g/capita/day)","g/capita/day"
"FBSH","Food Balance: Food Balances (old methodology and population)","5170","Residuals","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5527","Seed","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","5072","Stock Variation","1000 tonnes"
"FBSH","Food Balance: Food Balances (old methodology and population)","511","Total Population - Both sexes","1000 persons"
"FBSH","Food Balance: Food Balances (old methodology and population)","5171","Tourist consumption","1000 tonnes"
"CC","Food Balance: Food Supply - Crops Primary Equivalent","684","Fat supply quantity (g/capita/day)","g/capita/day"
"CC","Food Balance: Food Supply - Crops Primary Equivalent","664","Food supply (kcal/capita/day)","kcal/capita/day"
"CC","Food Balance: Food Supply - Crops Primary Equivalent","646","Food supply quantity (g/capita/day)","g/capita/day"
"CC","Food Balance: Food Supply - Crops Primary Equivalent","645","Food supply quantity (kg/capita/yr)","kg"
"CC","Food Balance: Food Supply - Crops Primary Equivalent","641","Food supply quantity (tonnes)","tonnes"
"CC","Food Balance: Food Supply - Crops Primary Equivalent","674","Protein supply quantity (g/capita/day)","g/capita/day"
"CL","Food Balance: Food Supply - Livestock and Fish Primary Equivalent","684","Fat supply quantity (g/capita/day)","g/capita/day"
"CL","Food Balance: Food Supply - Livestock and Fish Primary Equivalent","664","Food supply (kcal/capita/day)","kcal/capita/day"
"CL","Food Balance: Food Supply - Livestock and Fish Primary Equivalent","646","Food supply quantity (g/capita/day)","g/capita/day"
"CL","Food Balance: Food Supply - Livestock and Fish Primary Equivalent","645","Food supply quantity (kg/capita/yr)","kg"
"CL","Food Balance: Food Supply - Livestock and Fish Primary Equivalent","641","Food supply quantity (tonnes)","tonnes"
"CL","Food Balance: Food Supply - Livestock and Fish Primary Equivalent","674","Protein supply quantity (g/capita/day)","g/capita/day"
"FBS","Food Balance: New Food Balances","5301","Domestic supply quantity","1000 tonnes"
"FBS","Food Balance: New Food Balances","5911","Export Quantity","1000 tonnes"
"FBS","Food Balance: New Food Balances","684","Fat supply quantity (g/capita/day)","g/capita/day"
"FBS","Food Balance: New Food Balances","5521","Feed","1000 tonnes"
"FBS","Food Balance: New Food Balances","5142","Food","1000 tonnes"
"FBS","Food Balance: New Food Balances","664","Food supply (kcal/capita/day)","kcal/capita/day"
"FBS","Food Balance: New Food Balances","645","Food supply quantity (kg/capita/yr)","kg"
"FBS","Food Balance: New Food Balances","5611","Import Quantity","1000 tonnes"
"FBS","Food Balance: New Food Balances","5123","Losses","1000 tonnes"
"FBS","Food Balance: New Food Balances","5154","Other uses (non-food)","1000 tonnes"
"FBS","Food Balance: New Food Balances","5131","Processing","1000 tonnes"
"FBS","Food Balance: New Food Balances","5511","Production","1000 tonnes"
"FBS","Food Balance: New Food Balances","674","Protein supply quantity (g/capita/day)","g/capita/day"
"FBS","Food Balance: New Food Balances","5170","Residuals","1000 tonnes"
"FBS","Food Balance: New Food Balances","5527","Seed","1000 tonnes"
"FBS","Food Balance: New Food Balances","5072","Stock Variation","1000 tonnes"
"FBS","Food Balance: New Food Balances","511","Total Population - Both sexes","1000 persons"
"FBS","Food Balance: New Food Balances","5171","Tourist consumption","1000 tonnes"
"HS","Food Security: Indicators from Household Surveys (gender, area, socioeconomics)","6076","Mean",""
"HS","Food Security: Indicators from Household Surveys (gender, area, socioeconomics)","6077","Median",""
"HS","Food Security: Indicators from Household Surveys (gender, area, socioeconomics)","6079","Number Observations",""
"HS","Food Security: Indicators from Household Surveys (gender, area, socioeconomics)","6078","Standard Deviation",""
"FS","Food Security: Suite of Food Security Indicators","6121","Value","%"
"FS","Food Security: Suite of Food Security Indicators","6122","Value","I$ per person"
"FS","Food Security: Suite of Food Security Indicators","6123","Value","g/capita/day"
"FS","Food Security: Suite of Food Security Indicators","6124","Value","per 100 square km of land area"
"FS","Food Security: Suite of Food Security Indicators","6125","Value","index"
"FS","Food Security: Suite of Food Security Indicators","6126","Value","I$"
"FS","Food Security: Suite of Food Security Indicators","6127","Value","1000 I$"
"FS","Food Security: Suite of Food Security Indicators","6128","Value","kcal/capita/day"
"FS","Food Security: Suite of Food Security Indicators","6132","Value","millions"
"FS","Food Security: Suite of Food Security Indicators","6173","Value","Number"
"FO","Forestry: Forestry Production and Trade","5910","Export Quantity","tonnes"
"FO","Forestry: Forestry Production and Trade","5916","Export Quantity","m3"
"FO","Forestry: Forestry Production and Trade","5922","Export Value","1000 US$"
"FO","Forestry: Forestry Production and Trade","5610","Import Quantity","tonnes"
